Year,Month,Make,Model,City,State,Hour,Rear Damage,Front Damage,Right Side Damage,Left Side Damage,Inside Damage,Lighting,Weather,Roadway Surface,Movement Preceding Collision
2019,1,Chevrolet,Bolt,San Francisco,CA,11.0,1,0,1,0,0,Daylight,Clear,Slippery,Proceeding Straight
2019,1,Chevrolet,Bolt,San Francisco,CA,18.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Making Left Turn
2019,7,Chevrolet,Bolt,San Francisco,CA,21.0,0,0,0,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2019,7,Chevrolet,Bolt,San Francisco,CA,23.0,0,0,1,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2019,7,Chevrolet,Bolt,San Francisco,CA,15.0,1,0,1,1,1,Daylight,Clear,Dry,Proceeding Straight
2019,7,Chevrolet,Bolt,San Francisco,CA,9.0,1,0,0,1,0,Daylight,Clear,Dry,Stopped
2019,7,Chevrolet,Bolt,San Francisco,CA,20.0,1,0,1,0,1,Dark w Street-lights,Clear,Dry,Proceeding Straight
2019,7,Chevrolet,Bolt,San Francisco,CA,10.0,1,0,0,1,0,Daylight,Clear,Dry,Stopped
2019,6,Chevrolet,Bolt,San Francisco,CA,12.0,0,1,1,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,6,Chevrolet,Bolt,San Francisco,CA,16.0,1,0,0,1,0,Daylight,Clear,Dry,Proceeding Straight
2019,6,Chevrolet,Bolt,San Francisco,CA,21.0,1,0,1,0,0,Dark w Street-lights,Clear,Dry,Making Left Turn
2019,6,Chevrolet,Bolt,San Francisco,CA,12.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,6,Chevrolet,Bolt,San Francisco,CA,0.0,1,0,0,1,0,Dark w Street-lights,Clear,Dry,Making Right Turn
2019,6,Chevrolet,Bolt,San Francisco,CA,21.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Making Right Turn
2019,6,Chevrolet,Bolt,San Francisco,CA,23.0,1,0,0,1,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2019,6,Chevrolet,Bolt,San Francisco,CA,9.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,3,Chevrolet,Bolt,San Francisco,CA,5.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2019,3,Chevrolet,Bolt,San Francisco,CA,22.0,0,1,0,1,0,Dark w Street-lights,Clear,Dry,Making Left Turn
2019,3,Chevrolet,Bolt,San Francisco,CA,1.0,1,0,0,0,0,,,,
2019,5,Chevrolet,Bolt,San Francisco,CA,0.0,0,1,1,1,1,Dark w Street-lights,Clear,Dry,Proceeding Straight
2019,5,Chevrolet,Bolt,San Francisco,CA,19.0,0,0,0,0,0,Dusk/Dawn,Cloudy,Wet,Proceeding Straight
2019,5,Chevrolet,Bolt,San Francisco,CA,23.0,1,0,1,0,0,Dark w Street-lights,Clear,Dry,Stopped
2019,5,Chevrolet,Bolt,San Francisco,CA,19.0,1,0,0,0,0,Daylight,Clear,Dry,Changing Lanes
2019,5,Chevrolet,Bolt,San Francisco,CA,8.0,0,0,1,0,0,Dark w Street-lights,Clear,Dry,Making Right Turn
2019,10,Chevrolet,Bolt,San Francisco,CA,13.0,0,0,0,0,0,Daylight,Clear,Dry,Changing Lanes
2019,10,Chevrolet,Bolt,San Francisco,CA,16.0,1,0,1,0,0,Daylight,Clear,Dry,Slowing/Stopping
2019,9,Chevrolet,Bolt,San Francisco,CA,11.0,0,0,1,0,0,Daylight,Clear,Dry,Slowing/Stopping
2019,9,Chevrolet,Bolt,San Francisco,CA,17.0,0,0,1,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,9,Chevrolet,Bolt,San Francisco,CA,16.0,0,0,0,0,0,Daylight,Clear,Dry,Stopped
2018,1,Chevrolet,Bolt,San Francisco,CA,21.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,1,Chevrolet,Bolt,San Francisco,CA,23.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,1,Chevrolet,Bolt,San Francisco,CA,22.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2017,2,Chevrolet,Bolt,San Francisco,CA,8.0,0,0,0,0,0,,,,
2018,2,Chevrolet,Bolt,San Francisco,CA,,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,2,Chevrolet,Bolt,San Francisco,CA,16.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,3,Chevrolet,Bolt,San Francisco,CA,15.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,3,Chevrolet,Bolt,San Francisco,CA,20.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2017,3,Chevrolet,Bolt,San Francisco,CA,13.0,0,0,0,0,0,,,,
2017,3,Chevrolet,Bolt,Not Available,Not Available,10.0,0,0,0,0,0,,,,
2018,3,Chevrolet,Bolt,San Francisco,CA,12.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,3,Chevrolet,Bolt,San Francisco,CA,1.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,3,Chevrolet,Bolt,San Francisco,CA,0.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,3,Chevrolet,Bolt,San Francisco,CA,11.0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available
2018,5,Chevrolet,Bolt,San Francisco,CA,0.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Stopped
2018,5,Chevrolet,Bolt,San Francisco,CA,7.0,1,0,0,0,0,Daylight,Clear,Dry,Making Right Turn
2018,5,Chevrolet,Bolt,San Francisco,CA,12.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2017,5,Chevrolet,Bolt,San Francisco,CA,17.0,0,0,0,0,0,,,,
2018,5,Chevrolet,Bolt,San Francisco,CA,18.0,1,0,0,0,0,Daylight,Clear,Dry,Parking Manuerver
2018,6,Chevrolet,Bolt,San Francisco,CA,20.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2017,6,Chevrolet,Bolt,San Francisco,CA,,0,0,0,0,0,,,,
2018,6,Chevrolet,Bolt,San Francisco,CA,9.0,1,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2018,6,Chevrolet,Bolt,San Francisco,CA,13.0,0,0,0,0,1,Daylight,Clear,Dry,Proceeding Straight
2017,6,Chevrolet,Bolt,San Francisco,CA,,0,0,0,0,0,,,,
